Wall time,Step,Value
1725343931.7914405,313,0.8305258750915527
1725344063.5176065,626,0.76933354139328
1725344194.2456162,939,0.7260887026786804
1725344326.1139765,1252,0.7223377823829651
1725344456.5346053,1565,0.7163223624229431
1725344587.110569,1878,0.7198010087013245
1725344717.9388802,2191,0.7294246554374695
1725344849.2095835,2504,0.7252363562583923
1725344980.5033023,2817,0.7231242656707764
1725345110.9603097,3130,0.7338425517082214
1725345241.6491938,3443,0.7368950843811035
1725345373.5596912,3756,0.7452619671821594
1725345505.0395913,4069,0.7562357783317566
1725345635.4365358,4382,0.7523531317710876
1725345764.2368884,4695,0.7681103944778442
