                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.81651,                 2.2152,                 1.0935,                 0.8355,                 4.0903,                 1.0455,                0.54447,                0.68363,                 0.6024,                0.49529,                0.67536,                 1.5737,                0.93851,                0.70508,                  3.833,                0.91263,              0.0033244,              0.0033244,              0.0033244
                      2,                0.76107,                 1.4025,                0.99986,                0.89627,                 2.2377,                0.98772,                0.62434,                0.69122,                0.69854,                0.57884,                0.66451,                 1.4316,                0.93698,                0.69715,                  1.899,                0.91929,              0.0066571,              0.0066571,              0.0066571
                      3,                0.80298,                 1.3012,                 1.0234,                 0.9504,                 1.4729,                 1.0203,                0.63354,                0.67936,                0.64745,                0.52156,                0.69311,                  1.387,                0.93593,                0.78201,                 1.3235,                0.94406,              0.0099891,              0.0099891,              0.0099891
                      4,                0.80623,                 1.1909,                 1.0319,                0.94472,                  1.205,                 1.0259,                0.68958,                0.62191,                0.67454,                0.56332,                0.66779,                 1.2052,                0.92174,                0.67466,                 1.2888,                0.90925,               0.009997,               0.009997,               0.009997
                      5,                0.76685,                 1.0412,                 1.0199,                0.90535,                 1.0383,                  1.006,                 0.7019,                0.73959,                0.79639,                0.66538,                0.62129,                0.86686,                 0.9163,                0.66234,                 0.8307,                0.89734,               0.009997,               0.009997,               0.009997
                      6,                0.74779,                0.97354,                 1.0136,                0.87512,                0.96575,                0.98933,                 0.6484,                0.76419,                0.78778,                0.66679,                0.60744,                0.85182,                0.92597,                0.62687,                0.84094,                0.88317,               0.009996,               0.009996,               0.009996
                      7,                0.72391,                 0.9162,                 1.0054,                0.83867,                0.90192,                0.97685,                0.70999,                0.73491,                0.78947,                0.66955,                0.60103,                0.83269,                0.90907,                0.62394,                0.80406,                0.87898,              0.0099951,              0.0099951,              0.0099951
                      8,                0.72402,                0.88661,                  1.001,                0.82975,                0.88007,                0.97293,                0.74843,                0.75309,                0.81303,                0.68707,                0.60294,                0.83538,                0.93421,                0.63872,                0.78768,                0.89216,              0.0099941,              0.0099941,              0.0099941
                      9,                0.71025,                0.85495,                 1.0019,                0.81028,                0.86086,                0.97232,                0.76188,                0.74917,                0.83064,                0.71177,                0.57502,                0.73232,                0.92205,                 0.6033,                0.71787,                0.87771,              0.0099931,              0.0099931,              0.0099931
                     10,                0.70057,                0.82753,                0.99175,                0.79838,                0.82407,                0.95904,                0.73071,                0.75439,                0.82129,                0.69652,                0.60837,                0.75764,                0.91094,                0.61264,                0.69609,                0.87634,              0.0099921,              0.0099921,              0.0099921
